Tgt_rec,Rec,Yds_rec,Y/R,TD_rec,player_id
1.0,0.0,0.0,0.0,0.0,OwenCo00
1.0,0.0,0.0,0.0,0.0,RiccGi00
3.0,2.0,4.0,2.0,0.0,RoyaJa00
1.0,1.0,3.0,3.0,0.0,RunyCa00
1.0,0.0,0.0,0.0,0.0,RussBr00
1.0,0.0,0.0,0.0,0.0,SimsSt00
1.0,1.0,1.0,1.0,0.0,TonyRo00
3.0,1.0,3.0,3.0,0.0,TourSa00
1.0,0.0,0.0,0.0,0.0,TurnMa00
2.0,1.0,0.0,0.0,0.0,WestJa01
6.0,2.0,4.0,2.0,0.0,WhitBl01
1.0,1.0,4.0,4.0,0.0,WileJa00
1.0,0.0,0.0,0.0,0.0,WillBr06
3.0,2.0,10.0,5.0,0.0,DaviDe02
1.0,1.0,5.0,5.0,0.0,WillKe08
1.0,0.0,0.0,0.0,0.0,HardMe00
2.0,2.0,6.0,3.0,0.0,GipsXa00
