PPR,player_id
58.1,HiggEl00
33.3,MillKe01
38.6,MoorCh00
46.3,TolbJa00
31.4,McLaJa00
38.6,WilsRo02
37.7,JohnTy00
36.2,KolaCh00
45.5,TrauAd00
31.2,AtweTu00
33.3,ConnJa00
49.2,MusgLu00
54.0,SandJa01
39.2,ScotZa00
27.4,HeywCo00
24.4,JohnJo05
37.0,LuepHu00
33.8,OlszGu00
46.9,RuckJe00
31.6,TinsMi00
29.7,JordJa00
25.7,PattJa01
36.8,WrigBr01
36.9,ArroEl00
42.4,BechJa00
35.4,BensTr01
34.6,HumpLi01
31.6,CorlMa00
23.2,GibsAn00
32.5,LongHu00
35.9,RenfHu00
39.6,ThieAd00
26.7,WalkJa03
35.9,AbduAm00
33.0,AustKe00
32.7,BrooCh00
28.6,MoorEl00
25.9,WeasTh00
20.4,BlueJa01
29.0,BurkTr00
30.9,DaviGa01
29.5,FarrLu00
26.7,SandMi01
30.7,AlieMo00
43.6,FordJe00
38.8,GrayNo00
27.5,HodgIs00
28.7,HornJi00
30.3,JoneZa00
29.9,McMiJa01
32.0,ValdMa00
36.3,WhitJo04
23.0,BeckAn01
29.4,MostRa00
31.9,SampDr00
20.3,SandRa00
28.4,SinnBe00
35.4,BadiTy00
27.3,BateJo00
31.0,HillJu02
30.0,TremBr00
25.5,WillSa01
24.2,AlixRa00
24.8,AlleLe01
20.0,DuliAs00
25.2,MumpKo00
15.0,RudoMa00
24.0,SpanBr00
18.0,WhitCo05
22.6,CalcGr00
16.5,ChisEf00
15.6,HamxC.00
15.2,JennTe00
17.7,JohnKa01
13.5,LancTr00
13.8,McKeTa01
24.1,OgunDa00
21.1,SamuCu00
23.5,ThorDo00
15.3,AlleBr05
25.2,FitzJo00
14.8,HolaGe00
23.0,LazaAl00
27.2,SchoLu00
16.9,SkowBe00
15.9,JackSh01
17.5,MorrQu00
23.1,ReynJo00
16.8,AdkiNa00
16.1,LambKe01
20.1,MundJo00
10.9,NwanKe00
11.2,OladCh00
19.7,PettDa00
16.6,StolJa00
24.4,ThomIa00
20.7,ThraJa01
14.5,WallTy00
9.7,BrowBr06
17.3,ConkTy00
9.5,DaltAn00
20.7,DissWi00
9.6,GiddDJ00
10.3,MiltJo00
14.8,MoorSk01
15.7,PrenAd00
14.6,WhylJo01
13.0,BandMi00
18.1,ConnTa00
18.2,CoopDa01
11.7,EtieTr01
11.6,HarrNa00
14.6,HeatMa00
10.9,MafaPh00
13.0,MartDa01
11.4,MillRy01
12.7,OgleAn00
17.5,ShipWi00
20.4,TiptMa00
15.4,WashCa01
19.9,WestNi00
17.1,WillTr06
10.3,BellRo01
7.8,BrooBr01
13.3,BrowNo00
11.1,DeguJo00
13.1,EkelAu00
8.8,JohnKa03
7.7,PickKe00
19.9,StovCa00
7.2,AkerCa00
7.6,CulpDe00
9.3,KineCo00
13.9,McClRa00
12.5,ProcJa00
13.5,SmitAr01
13.7,WeavXa00
8.8,ChanTy01
9.1,DillAJ00
10.0,HaskHa00
6.6,HerbKh00
14.1,IngoAl01
6.0,JoneCh11
15.2,MillSc01
12.9,MoreFo00
9.6,WhitZa01
10.3,AndeRo04
8.8,BateBr00
6.4,BrooTa00
13.3,FirkAn00
6.4,HullEv00
6.8,KinsMa00
12.4,LarvGa00
4.8,OConAi00
4.6,RiveRo01
9.1,SaubEr00
12.2,SmarSt00
7.6,TramAu00
12.8,WoerCh00
6.8,YounDa02
9.7,BerrBr00
4.2,BrosMa00
3.9,BuecSh00
4.0,CartNa00
4.0,ChesJu00
11.2,DrumDy00
8.2,EskrDW00
11.0,GranKy00
8.5,HyatJa00
7.6,KennTo01
7.5,LatuKe00
8.6,OkwuAl00
3.6,PierDa01
7.1,RestXa00
9.4,WilsCe01
2.6,BageTy00
2.9,BridTe00
6.1,BrooJa03
4.5,CollBe00
4.6,DuveDe00
5.5,FeltTa00
4.8,GillRe00
5.2,GoodTy00
6.1,HodgKh00
2.5,JohnDE04
3.5,JoneJa16
3.2,JoneVe00
3.5,MingJo00
5.8,MitcJa00
4.2,RemiNi00
6.0,SimsBe00
6.5,SmytDu00
6.2,ThomDe07
4.6,WatkJo00
6.0,WatsJu01
4.0,BoboJa00
