2PM,2PP,player_id
0.0,0.0,OttoCa00
0.0,0.0,HockTJ00
2.0,0.0,SlayDa01
0.0,0.0,ThorTy00
0.0,0.0,PeriSa00
0.0,0.0,TeSlIs00
0.0,0.0,TaylTy00
0.0,0.0,TongJa00
0.0,0.0,TurpKa00
1.0,0.0,CokeJa01
0.0,0.0,IosiAn00
0.0,0.0,MimsMa00
0.0,0.0,AustCa00
0.0,0.0,BourKe00
0.0,0.0,EvanMi00
0.0,0.0,MitcAd00
0.0,0.0,RobiBr01
0.0,0.0,SampDy00
0.0,0.0,DaviRa04
0.0,0.0,LegeXa00
0.0,0.0,EngrEv00
0.0,0.0,NjokDa00
0.0,0.0,PearRi00
0.0,0.0,HortTo00
0.0,0.0,BigsTa00
0.0,0.0,WillMa12
1.0,0.0,DaviIs00
1.0,0.0,GodwCh00
0.0,0.0,MoonDa00
0.0,0.0,WilsRu00
0.0,0.0,BrowJa08
1.0,0.0,KmetCo00
0.0,0.0,HelmGu00
1.0,0.0,McNiJe00
0.0,0.0,GordOl00
0.0,0.0,SmitJo01
0.0,0.0,DortGr01
0.0,0.0,HigbTy00
0.0,0.0,MitcKe01
0.0,0.0,WickDo00
0.0,0.0,ZaccOl01
0.0,0.0,DemeEm00
0.0,0.0,HopkDe00
1.0,0.0,TaylMa02
0.0,0.0,BryaPa00
0.0,0.0,HillJu00
0.0,0.0,GesiMi00
0.0,0.0,NealDe00
0.0,0.0,RaymKa00
0.0,0.0,ShepSt00
0.0,0.0,WrigJa04
0.0,0.0,NoelJa00
1.0,0.0,WashDa03
0.0,0.0,WinsJa00
0.0,0.0,BellDa00
0.0,0.0,FantNo00
0.0,0.0,FergTe00
0.0,0.0,GoldMa02
0.0,0.0,JeffVa00
0.0,0.0,LockTy00
0.0,0.0,SmitJu00
0.0,0.0,VeleDe00
0.0,0.0,HuntTy01
1.0,0.0,McCaLu00
0.0,0.0,OlivJo00
0.0,0.0,AlleDa02
0.0,0.0,DaviMa02
0.0,0.0,HarrTr03
0.0,0.0,MayeMi00
0.0,0.0,MetcJo00
0.0,0.0,NabeMa00
0.0,0.0,TillCe01
0.0,0.0,WillKy03
0.0,0.0,HoopAu00
0.0,0.0,SmitBr09
0.0,0.0,BondIs00
0.0,0.0,DulcGr00
0.0,0.0,HaweJa00
0.0,0.0,PatrTi00
0.0,0.0,TremTo00
1.0,0.0,BateRa00
0.0,0.0,EstiAu00
0.0,0.0,HuntTr00
1.0,0.0,RobiDe01
0.0,0.0,LikeIs00
0.0,0.0,HillTy00
0.0,0.0,JuszKy00
0.0,0.0,LaneJa00
0.0,0.0,WillIs03
0.0,0.0,DotsJa00
0.0,0.0,EwerQu00
0.0,0.0,RivePh00
0.0,0.0,WalkDe01
0.0,0.0,HillTa00
0.0,0.0,ShavTy00
0.0,0.0,SillDa01
0.0,1.0,TrubMi00
0.0,0.0,BrowDy00
0.0,0.0,KirkCh01
0.0,0.0,PalmJo00
0.0,0.0,ReedJa03
0.0,0.0,RidlCa00
0.0,0.0,SmitXa00
0.0,0.0,EvanMi01
0.0,0.0,HudsTa00
0.0,0.0,LeonRi02
0.0,0.0,CookBr00
0.0,1.0,CookBr03
0.0,0.0,HiggEl00
0.0,0.0,MillKe01
