"player","position","games","targets","receptions","catch_percentage","rec_yd_pts","rec_td_pts","rush_ypa","rush_yd_pts","rush_td_pts","fumbles","fnt_ppr"
"Terry McLaurin","WR",10,"60.00","38.00",63,"58.20","18.00","0.00","0.00","0.00","0.00","114.200"
"Ryan Flournoy","WR",16,"56.00","40.00",71,"47.50","24.00","6.25","2.50","0.00","0.00","114.000"
"Mack Hollins","WR",15,"65.00","46.00",71,"55.00","12.00","4.00","0.40","0.00","1.00","113.400"
"Xavier Worthy","WR",14,"73.00","42.00",58,"53.20","6.00","7.91","8.70","0.00","0.00","109.900"
"Keon Coleman","WR",13,"59.00","38.00",64,"40.40","24.00","0.00","0.00","0.00","1.00","102.400"
"Jalen Nailor","WR",17,"53.00","29.00",55,"44.40","24.00","6.50","1.30","0.00","0.00","100.700"
"Garrett Wilson","WR",7,"59.00","36.00",61,"39.50","24.00","0.00","0.00","0.00","1.00","99.500"
"Darius Slayton","WR",14,"63.00","37.00",59,"53.80","6.00","0.00","0.00","0.00","1.00","98.800"
"Xavier Hutchinson","WR",17,"57.00","35.00",61,"42.80","18.00","7.33","2.20","0.00","0.00","98.000"
"Marvin Mims","WR",15,"51.00","37.00",73,"32.20","6.00","6.50","7.80","6.00","2.00","93.000"
"Tez Johnson","WR",16,"44.00","28.00",64,"32.20","30.00","3.14","2.20","0.00","0.00","92.400"
"Kendrick Bourne","WR",16,"53.00","37.00",70,"55.10","0.00","0.00","0.00","0.00","0.00","92.100"
"Jalen Coker","WR",11,"43.00","33.00",77,"39.40","18.00","0.00","0.00","0.00","1.00","90.400"
"Andrei Iosivas","WR",17,"58.00","33.00",57,"43.50","12.00","4.67","1.40","0.00","0.00","89.900"
"Xavier Legette","WR",15,"64.00","35.00",55,"36.30","18.00","0.00","0.00","0.00","1.00","89.300"
"Ricky Pearsall","WR",9,"53.00","36.00",68,"52.80","0.00","-1.00","-0.20","0.00","0.00","88.600"
"Adonai Mitchell","WR",16,"74.00","33.00",45,"45.30","12.00","-4.00","-0.40","0.00","1.00","87.900"
"Calvin Austin III","WR",14,"55.00","31.00",56,"37.20","18.00","0.00","0.00","0.00","0.00","86.200"
"Darnell Mooney","WR",15,"72.00","32.00",44,"44.30","6.00","0.00","0.00","0.00","2.00","82.300"
"Isaac TeSlaa","WR",17,"27.00","16.00",59,"23.90","36.00","0.00","0.00","0.00","0.00","75.900"
"Dontayvion Wicks","WR",14,"46.00","30.00",65,"33.20","12.00","6.00","0.60","0.00","0.00","75.800"
"Greg Dortch","WR",12,"33.00","29.00",88,"20.60","18.00","2.14","1.50","6.00","1.00","75.100"
"Van Jefferson","WR",16,"52.00","29.00",56,"35.00","6.00","0.00","0.00","0.00","0.00","70.000"
"DeAndre Hopkins","WR",17,"39.00","22.00",56,"33.00","12.00","0.00","0.00","0.00","0.00","67.000"
"Devaughn Vele","WR",13,"39.00","25.00",64,"29.30","12.00","0.00","0.00","0.00","0.00","66.300"
"Cedric Tillman","WR",13,"39.00","21.00",54,"27.00","12.00","0.00","0.00","0.00","0.00","60.000"
"Isaiah Williams","WR",15,"36.00","26.00",72,"19.30","0.00","11.33","3.40","0.00","1.00","58.700"
"Rashod Bateman","WR",13,"38.00","19.00",50,"22.40","12.00","0.00","0.00","0.00","0.00","55.400"
"Isaiah Bond","WR",16,"44.00","18.00",41,"33.80","0.00","5.80","2.90","0.00","0.00","54.700"
"Josh Palmer","WR",12,"37.00","22.00",59,"30.30","0.00","0.00","0.00","0.00","0.00","52.300"
"Luke McCaffrey","WR",9,"15.00","11.00",73,"20.30","18.00","0.00","0.00","0.00","0.00","51.300"
"Jahan Dotson","WR",17,"36.00","18.00",50,"26.20","6.00","0.00","0.00","0.00","0.00","50.200"
"David Sills V","WR",17,"36.00","18.00",50,"19.10","12.00","0.00","0.00","0.00","0.00","49.100"
"Xavier Smith","WR",16,"24.00","18.00",75,"30.30","0.00","0.00","0.00","0.00","0.00","48.300"
"Jack Bech","WR",16,"29.00","20.00",69,"22.40","0.00","0.00","0.00","0.00","0.00","42.400"
"Roman Wilson","WR",13,"21.00","12.00",57,"16.60","12.00","0.00","0.00","0.00","1.00","38.600"
"Tyler Johnson","WR",12,"18.00","12.00",67,"19.70","6.00","0.00","0.00","0.00","0.00","37.700"
"Dont'e Thornton","WR",15,"30.00","10.00",33,"13.50","0.00","0.00","0.00","0.00","0.00","23.500"
"Xavier Gipson","WR",7,"2.00","2.00",100,"0.60","0.00","0.00","0.00","0.00","3.00","-1.400"
