Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Davante Adams,LAR,WR,33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,60.0,789.0,13.15,14.0,0.0,0.0,14,0.0,0.0,222.9,AdamDa01
Caleb Williams,CHI,QB,24,17,330.0,568.0,3942.0,27.0,7.0,77.0,388.0,5.04,3.0,2.0,2.0,22.0,11.0,1.0,9.0,1.0,4,0.0,1.0,318.7,WillCa03
Dak Prescott,DAL,QB,32,17,404.0,600.0,4552.0,30.0,10.0,53.0,177.0,3.34,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2,0.0,3.0,313.8,PresDa01
Ashton Jeanty,LVR,RB,22,17,0.0,0.0,0.0,0.0,0.0,266.0,975.0,3.67,5.0,73.0,55.0,346.0,6.29,5.0,2.0,1.0,10,0.0,0.0,245.1,JeanAs00
Zay Flowers,BAL,WR,25,17,0.0,0.0,0.0,0.0,0.0,10.0,62.0,6.2,1.0,118.0,86.0,1211.0,14.08,5.0,3.0,3.0,6,0.0,0.0,243.3,FlowZa00
Nico Collins,HOU,WR,26,15,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,1.0,120.0,71.0,1117.0,15.73,6.0,1.0,1.0,7,1.0,0.0,226.2,CollNi00
Jameson Williams,DET,WR,24,17,0.0,0.0,0.0,0.0,0.0,6.0,12.0,2.0,0.0,102.0,65.0,1117.0,17.18,7.0,0.0,0.0,7,0.0,0.0,219.9,WillJa11
Tee Higgins,CIN,WR,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,59.0,846.0,14.34,11.0,0.0,0.0,11,1.0,0.0,211.6,HiggTe00
Bo Nix,DEN,QB,25,17,388.0,612.0,3931.0,25.0,11.0,83.0,356.0,4.29,5.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5,0.0,4.0,304.8,NixxBo00
Rico Dowdle,CAR,RB,27,17,0.0,0.0,0.0,0.0,0.0,236.0,1076.0,4.56,6.0,50.0,39.0,297.0,7.62,1.0,2.0,1.0,7,0.0,0.0,216.3,DowdRi01
Jaylen Warren,PIT,RB,27,16,0.0,0.0,0.0,0.0,0.0,211.0,958.0,4.54,6.0,45.0,40.0,333.0,8.33,2.0,1.0,0.0,8,0.0,0.0,217.1,WarrJa01
Courtland Sutton,DEN,WR,30,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,74.0,1017.0,13.74,7.0,0.0,0.0,7,1.0,0.0,219.7,SuttCo00
Jalen Hurts,PHI,QB,27,16,294.0,454.0,3224.0,25.0,6.0,105.0,421.0,4.01,8.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,8,0.0,0.0,299.1,HurtJa00
Jared Goff,DET,QB,31,17,393.0,578.0,4564.0,34.0,8.0,19.0,45.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0,0.0,0.0,297.1,GoffJa00
