Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Rachaad White,TAM,RB,26,17,0.0,0.0,0.0,0.0,0.0,132.0,572.0,4.33,4.0,45.0,40.0,218.0,5.45,0.0,0.0,0.0,4,0.0,0.0,143.0,WhitRa01
Keenan Allen,LAC,WR,33,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,81.0,777.0,9.59,4.0,2.0,0.0,4,0.0,0.0,182.7,AlleKe00
Rome Odunze,CHI,WR,23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,44.0,661.0,15.02,6.0,0.0,0.0,6,0.0,0.0,146.1,OdunRo00
Kimani Vidal,LAC,RB,24,13,0.0,0.0,0.0,0.0,0.0,155.0,643.0,4.15,3.0,22.0,16.0,136.0,8.5,1.0,1.0,0.0,4,0.0,0.0,117.9,VidaKi00
Jakobi Meyers,2TM,WR,29,16,0.0,0.0,0.0,0.0,0.0,5.0,13.0,2.6,0.0,110.0,75.0,835.0,11.13,3.0,1.0,1.0,3,0.0,0.0,175.8,MeyeJa01
Spencer Rattler,NOR,QB,25,9,174.0,257.0,1586.0,8.0,5.0,31.0,167.0,5.39,0.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0,0.0,0.0,99.1,RattSp00
Rashid Shaheed,2TM,WR,27,18,0.0,0.0,0.0,0.0,0.0,9.0,69.0,7.67,0.0,92.0,59.0,687.0,11.64,2.0,2.0,1.0,4,0.0,0.0,156.6,ShahRa00
Rashee Rice,KAN,WR,25,8,0.0,0.0,0.0,0.0,0.0,5.0,20.0,4.0,1.0,78.0,53.0,571.0,10.77,5.0,2.0,0.0,6,1.0,0.0,150.1,RiceRa01
Christian Watson,GNB,WR,26,10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,55.0,35.0,611.0,17.46,6.0,0.0,0.0,6,0.0,0.0,132.4,WatsCh00
Dalton Schultz,HOU,TE,29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,82.0,777.0,9.48,3.0,1.0,0.0,3,0.0,0.0,177.7,SchuDa00
AJ Barner,SEA,TE,23,17,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.4,1.0,68.0,52.0,519.0,9.98,6.0,2.0,0.0,7,0.0,0.0,147.3,BarnAJ00
Chuba Hubbard,CAR,RB,26,15,0.0,0.0,0.0,0.0,0.0,134.0,511.0,3.81,1.0,39.0,30.0,223.0,7.43,3.0,1.0,1.0,4,0.0,0.0,125.4,HubbCh01
Khalil Shakir,BUF,WR,25,16,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,95.0,72.0,719.0,9.99,4.0,1.0,1.0,4,0.0,0.0,166.4,ShakKh00
Jordan Addison,MIN,WR,23,14,0.0,0.0,0.0,0.0,0.0,2.0,81.0,40.5,1.0,79.0,42.0,610.0,14.52,3.0,0.0,0.0,4,0.0,0.0,135.1,AddiJo00
Kayshon Boutte,NWE,WR,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,33.0,551.0,16.7,6.0,0.0,0.0,6,0.0,0.0,124.1,BoutKa00
Aaron Jones,MIN,RB,31,12,0.0,0.0,0.0,0.0,0.0,132.0,548.0,4.15,2.0,41.0,28.0,199.0,7.11,1.0,2.0,1.0,3,0.0,0.0,118.7,JoneAa00
Devin Singletary,NYG,RB,28,17,0.0,0.0,0.0,0.0,0.0,119.0,437.0,3.67,5.0,19.0,18.0,151.0,8.39,0.0,0.0,0.0,5,0.0,1.0,108.8,SingDe00
Brian Thomas,JAX,WR,23,14,0.0,0.0,0.0,0.0,0.0,3.0,21.0,7.0,1.0,91.0,48.0,707.0,14.73,2.0,0.0,0.0,3,0.0,0.0,138.8,ThomBr06
Marquise Brown,KAN,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,49.0,587.0,11.98,5.0,1.0,0.0,5,0.0,0.0,137.7,BrowMa04
Jayden Higgins,HOU,WR,23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,41.0,525.0,12.8,6.0,0.0,0.0,6,0.0,0.0,129.5,HiggJa00
Chris Rodriguez,WAS,RB,25,13,0.0,0.0,0.0,0.0,0.0,112.0,500.0,4.46,6.0,4.0,3.0,30.0,10.0,0.0,0.0,0.0,6,0.0,0.0,92.0,RodrCh00
Marvin Harrison Jr.,ARI,WR,23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,41.0,608.0,14.83,4.0,0.0,0.0,4,1.0,0.0,127.8,HarrMa09
Dalton Kincaid,BUF,TE,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,39.0,571.0,14.64,5.0,1.0,0.0,5,0.0,0.0,126.1,KincDa00
Colby Parkinson,LAR,TE,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,43.0,408.0,9.49,8.0,1.0,1.0,8,0.0,0.0,129.8,ParkCo02
Tucker Kraft,GNB,TE,25,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,44.0,32.0,489.0,15.28,6.0,0.0,0.0,6,0.0,0.0,117.2,KrafTu00
Shedeur Sanders,CLE,QB,23,8,120.0,212.0,1400.0,7.0,10.0,21.0,169.0,8.05,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0.0,0.0,84.9,SandSh00
Mark Andrews,BAL,TE,30,17,0.0,0.0,0.0,0.0,0.0,10.0,48.0,4.8,1.0,70.0,48.0,422.0,8.79,5.0,1.0,0.0,6,0.0,0.0,131.0,AndrMa00
Theo Johnson,NYG,TE,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,45.0,528.0,11.73,5.0,0.0,0.0,5,0.0,0.0,127.8,JohnTh00
Sean Tucker,TAM,RB,24,17,0.0,0.0,0.0,0.0,0.0,86.0,320.0,3.72,7.0,11.0,8.0,34.0,4.25,1.0,2.0,0.0,8,0.0,0.0,91.4,TuckSe00
Oronde Gadsden II,LAC,TE,22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,49.0,664.0,13.55,3.0,1.0,1.0,3,0.0,0.0,131.4,GadsOr01
Luther Burden,CHI,WR,22,15,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.17,0.0,60.0,47.0,652.0,13.87,2.0,0.0,0.0,2,0.0,0.0,127.9,BurdLu00
Emanuel Wilson,GNB,RB,26,17,0.0,0.0,0.0,0.0,0.0,125.0,496.0,3.97,3.0,17.0,15.0,99.0,6.6,0.0,1.0,0.0,3,1.0,0.0,94.5,WilsEm00
Bhayshul Tuten,JAX,RB,22,15,0.0,0.0,0.0,0.0,0.0,83.0,307.0,3.7,5.0,14.0,10.0,79.0,7.9,2.0,2.0,1.0,7,0.0,0.0,88.6,TuteBh00
Chimere Dike,TEN,WR,24,17,0.0,0.0,0.0,0.0,0.0,11.0,18.0,1.64,0.0,74.0,48.0,423.0,8.81,4.0,2.0,1.0,6,0.0,0.0,126.1,DikeCh00
Josh Downs,IND,WR,24,16,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,88.0,58.0,566.0,9.76,4.0,1.0,1.0,4,0.0,0.0,136.4,DownJo00
Kyler Murray,ARI,QB,28,5,110.0,161.0,962.0,6.0,3.0,29.0,173.0,5.97,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,77.8,MurrKy00
Elic Ayomanor,TEN,WR,22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,41.0,515.0,12.56,4.0,0.0,0.0,4,0.0,0.0,116.5,AyomEl00
Zach Ertz,WAS,TE,35,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,50.0,504.0,10.08,4.0,1.0,0.0,4,1.0,0.0,126.4,ErtzZa00
Ty Johnson,BUF,RB,28,17,0.0,0.0,0.0,0.0,0.0,50.0,200.0,4.0,3.0,33.0,24.0,263.0,10.96,2.0,1.0,0.0,5,0.0,0.0,100.3,JohnTy02
Terry McLaurin,WAS,WR,30,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,582.0,15.32,3.0,0.0,0.0,3,0.0,0.0,114.2,McLaTe00
Nick Chubb,HOU,RB,30,15,0.0,0.0,0.0,0.0,0.0,122.0,506.0,4.15,3.0,20.0,13.0,67.0,5.15,0.0,0.0,0.0,3,0.0,0.0,88.3,ChubNi00
Ryan Flournoy,DAL,WR,26,16,0.0,0.0,0.0,0.0,0.0,4.0,25.0,6.25,0.0,56.0,40.0,475.0,11.88,4.0,0.0,0.0,4,0.0,0.0,114.0,FlouRy00
Pat Freiermuth,PIT,TE,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,41.0,486.0,11.85,4.0,0.0,0.0,4,0.0,0.0,113.6,FreiPa00
Jalen Nailor,MIN,WR,26,17,0.0,0.0,0.0,0.0,0.0,2.0,13.0,6.5,0.0,53.0,29.0,444.0,15.31,4.0,0.0,0.0,4,1.0,0.0,100.7,NailJa00
Brenton Strange,JAX,TE,25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.0,540.0,11.74,3.0,0.0,0.0,3,0.0,0.0,118.0,StraBr00
Jerry Jeudy,CLE,WR,26,17,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,106.0,50.0,602.0,12.04,2.0,1.0,1.0,2,0.0,0.0,120.7,JeudJe00
Zonovan Knight,ARI,RB,24,12,0.0,0.0,0.0,0.0,0.0,82.0,269.0,3.28,4.0,31.0,22.0,160.0,7.27,1.0,1.0,1.0,5,0.0,0.0,92.9,KnigZo00
Malik Washington,MIA,WR,24,17,0.0,0.0,0.0,0.0,0.0,17.0,110.0,6.47,1.0,65.0,46.0,317.0,6.89,3.0,1.0,1.0,5,0.0,0.0,116.7,WashMa00
Dillon Gabriel,CLE,QB,25,10,110.0,185.0,937.0,7.0,2.0,14.0,86.0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,70.1,GabrDi00
Carson Wentz,MIN,QB,33,5,110.0,169.0,1216.0,6.0,5.0,11.0,57.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,1.0,70.3,WentCa00
Cooper Kupp,SEA,WR,32,16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,47.0,593.0,12.62,2.0,1.0,1.0,2,1.0,0.0,116.3,KuppCo00
Davis Mills,HOU,QB,27,6,91.0,159.0,915.0,5.0,1.0,13.0,60.0,4.62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,68.6,MillDa02
Alvin Kamara,NOR,RB,30,11,0.0,0.0,0.0,0.0,0.0,131.0,471.0,3.6,1.0,39.0,33.0,186.0,5.64,0.0,2.0,2.0,1,0.0,0.0,100.7,KamaAl00
Dawson Knox,BUF,TE,29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,36.0,417.0,11.58,4.0,0.0,0.0,4,1.0,0.0,103.7,KnoxDa00
Chig Okonkwo,TEN,TE,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,56.0,560.0,10.0,2.0,0.0,0.0,2,0.0,0.0,124.0,OkonCh00
Isiah Pacheco,KAN,RB,26,13,0.0,0.0,0.0,0.0,0.0,118.0,462.0,3.92,1.0,26.0,19.0,101.0,5.32,1.0,0.0,0.0,2,0.0,0.0,87.3,PachIs00
Xavier Worthy,KAN,WR,22,14,0.0,0.0,0.0,0.0,0.0,11.0,87.0,7.91,0.0,73.0,42.0,532.0,12.67,1.0,0.0,0.0,1,0.0,0.0,109.9,WortXa00
Mack Hollins,NWE,WR,32,15,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,65.0,46.0,550.0,11.96,2.0,1.0,0.0,2,0.0,0.0,113.4,HollMa00
Sam LaPorta,DET,TE,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,40.0,489.0,12.23,3.0,0.0,0.0,3,0.0,0.0,106.9,LaPoSa01
Tyjae Spears,TEN,RB,24,13,0.0,0.0,0.0,0.0,0.0,72.0,283.0,3.93,2.0,50.0,45.0,264.0,5.87,0.0,0.0,0.0,2,0.0,0.0,111.7,SpeaTy00
Michael Carter,ARI,RB,26,13,0.0,0.0,0.0,0.0,0.0,92.0,333.0,3.62,1.0,45.0,33.0,267.0,8.09,0.0,0.0,0.0,1,0.0,0.0,99.0,CartMi03
DeMario Douglas,NWE,WR,25,17,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,46.0,31.0,447.0,14.42,3.0,0.0,0.0,3,0.0,0.0,95.8,DougDe00
Darren Waller,MIA,TE,33,9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,34.0,24.0,283.0,11.79,6.0,0.0,0.0,6,0.0,0.0,88.7,WallDa01
Keon Coleman,BUF,WR,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,38.0,404.0,10.63,4.0,1.0,1.0,4,1.0,0.0,102.4,ColeKe02
Tez Johnson,TAM,WR,23,16,0.0,0.0,0.0,0.0,0.0,7.0,22.0,3.14,0.0,44.0,28.0,322.0,11.5,5.0,0.0,0.0,5,0.0,0.0,92.4,JohnTe03
Garrett Wilson,NYJ,WR,25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,395.0,10.97,4.0,1.0,0.0,4,0.0,0.0,99.5,WilsGa00
Xavier Hutchinson,HOU,WR,25,17,0.0,0.0,0.0,0.0,0.0,3.0,22.0,7.33,0.0,57.0,35.0,428.0,12.23,3.0,0.0,0.0,3,0.0,0.0,98.0,HutcXa00
Cade Otton,TAM,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,59.0,572.0,9.69,1.0,0.0,0.0,1,0.0,0.0,122.2,OttoCa00
T.J. Hockenson,MIN,TE,28,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,51.0,438.0,8.59,3.0,0.0,0.0,3,0.0,0.0,112.8,HockTJ00
Darius Slayton,NYG,WR,28,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,37.0,538.0,14.54,1.0,1.0,1.0,1,2.0,0.0,98.8,SlayDa01
Tyquan Thornton,KAN,WR,25,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,438.0,23.05,3.0,0.0,0.0,3,0.0,0.0,80.8,ThorTy00
Samaje Perine,CIN,RB,30,15,0.0,0.0,0.0,0.0,0.0,84.0,382.0,4.55,3.0,21.0,17.0,87.0,5.12,0.0,3.0,2.0,3,0.0,0.0,77.9,PeriSa00
Isaac TeSlaa,DET,WR,23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,239.0,14.94,6.0,0.0,0.0,6,0.0,0.0,75.9,TeSlIs00
Tyrod Taylor,NYJ,QB,36,6,80.0,134.0,779.0,5.0,5.0,27.0,143.0,5.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,59.5,TaylTy00
Jake Tonges,SFO,TE,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,34.0,293.0,8.62,5.0,0.0,0.0,5,0.0,0.0,93.3,TongJa00
KaVontae Turpin,DAL,WR,29,15,0.0,0.0,0.0,0.0,0.0,17.0,89.0,5.24,0.0,38.0,26.0,396.0,15.23,2.0,1.0,1.0,2,0.0,0.0,84.5,TurpKa00
Jalen Coker,CAR,WR,24,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,33.0,394.0,11.94,3.0,1.0,1.0,3,1.0,0.0,90.4,CokeJa01
Andrei Iosivas,CIN,WR,26,17,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.67,0.0,58.0,33.0,435.0,13.18,2.0,0.0,0.0,2,0.0,0.0,89.9,IosiAn00
Marvin Mims,DEN,WR,23,15,0.0,0.0,0.0,0.0,0.0,12.0,78.0,6.5,1.0,51.0,37.0,322.0,8.7,1.0,2.0,1.0,3,0.0,0.0,93.0,MimsMa00
Calvin Austin III,PIT,WR,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,31.0,372.0,12.0,3.0,0.0,0.0,3,0.0,0.0,86.2,AustCa00
Kendrick Bourne,SFO,WR,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37.0,551.0,14.89,0.0,0.0,0.0,0,0.0,0.0,92.1,BourKe00
Mike Evans,TAM,WR,32,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,30.0,368.0,12.27,3.0,0.0,0.0,3,0.0,0.0,84.8,EvanMi00
Adonai Mitchell,2TM,WR,23,16,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,74.0,33.0,453.0,13.73,2.0,1.0,1.0,2,0.0,0.0,87.9,MitcAd00
Brian Robinson Jr.,SFO,RB,26,17,0.0,0.0,0.0,0.0,0.0,92.0,400.0,4.35,2.0,12.0,8.0,25.0,3.13,0.0,0.0,0.0,2,0.0,0.0,62.5,RobiBr01
Dylan Sampson,CLE,RB,21,15,0.0,0.0,0.0,0.0,0.0,65.0,175.0,2.69,0.0,40.0,33.0,271.0,8.21,2.0,1.0,1.0,2,0.0,0.0,87.6,SampDy00
Ray Davis,BUF,RB,26,17,0.0,0.0,0.0,0.0,0.0,58.0,275.0,4.74,0.0,13.0,10.0,86.0,8.6,2.0,0.0,0.0,3,0.0,0.0,64.1,DaviRa04
Xavier Legette,CAR,WR,24,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,35.0,363.0,10.37,3.0,1.0,0.0,3,0.0,0.0,89.3,LegeXa00
Evan Engram,DEN,TE,31,16,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,76.0,50.0,461.0,9.22,1.0,0.0,0.0,1,0.0,0.0,102.8,EngrEv00
David Njoku,CLE,TE,29,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,33.0,293.0,8.88,4.0,0.0,0.0,4,0.0,0.0,86.3,NjokDa00
Ricky Pearsall,SFO,WR,25,9,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,53.0,36.0,528.0,14.67,0.0,0.0,0.0,0,0.0,0.0,88.6,PearRi00
Tory Horton,SEA,WR,23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,161.0,12.38,5.0,0.0,0.0,6,0.0,0.0,65.1,HortTo00
Tank Bigsby,2TM,RB,24,17,0.0,0.0,0.0,0.0,0.0,63.0,356.0,5.65,2.0,4.0,3.0,32.0,10.67,0.0,0.0,0.0,2,0.0,0.0,53.8,BigsTa00
Malik Willis,GNB,QB,26,4,30.0,35.0,422.0,3.0,0.0,22.0,123.0,5.59,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,0.0,0.0,51.2,WillMa12
Isaiah Davis,NYJ,RB,23,16,0.0,0.0,0.0,0.0,0.0,43.0,236.0,5.49,1.0,28.0,21.0,186.0,8.86,0.0,0.0,0.0,1,1.0,0.0,71.2,DaviIs00
Chris Godwin,TAM,WR,29,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,33.0,360.0,10.91,2.0,0.0,0.0,2,1.0,0.0,83.0,GodwCh00
Darnell Mooney,ATL,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,32.0,443.0,13.84,1.0,2.0,0.0,1,0.0,0.0,82.3,MoonDa00
Russell Wilson,NYG,QB,37,6,69.0,119.0,831.0,3.0,3.0,18.0,106.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,49.8,WilsRu00
Jake Browning,CIN,QB,29,5,81.0,125.0,771.0,6.0,8.0,9.0,39.0,4.33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,48.7,BrowJa08
Cole Kmet,CHI,TE,26,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,30.0,347.0,11.57,2.0,0.0,0.0,2,1.0,0.0,78.7,KmetCo00
Gunnar Helm,TEN,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,44.0,357.0,8.11,2.0,0.0,0.0,2,0.0,0.0,91.7,HelmGu00
Jeremy McNichols,WAS,RB,30,17,0.0,0.0,0.0,0.0,0.0,44.0,221.0,5.02,1.0,31.0,25.0,196.0,7.84,0.0,1.0,1.0,1,1.0,0.0,72.7,McNiJe00
Ollie Gordon,MIA,RB,21,17,0.0,0.0,0.0,0.0,0.0,70.0,199.0,2.84,3.0,9.0,7.0,32.0,4.57,1.0,0.0,0.0,4,0.0,0.0,54.1,GordOl00
Jonnu Smith,PIT,TE,30,17,0.0,0.0,0.0,0.0,0.0,9.0,70.0,7.78,1.0,54.0,38.0,222.0,5.84,2.0,1.0,0.0,3,0.0,0.0,85.2,SmitJo01
Greg Dortch,ARI,WR,27,12,0.0,0.0,0.0,0.0,0.0,7.0,15.0,2.14,1.0,33.0,29.0,206.0,7.1,3.0,1.0,0.0,4,0.0,0.0,75.1,DortGr01
Tyler Higbee,LAR,TE,32,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,281.0,11.24,3.0,0.0,0.0,3,0.0,0.0,71.1,HigbTy00
Keaton Mitchell,BAL,RB,23,13,0.0,0.0,0.0,0.0,0.0,59.0,341.0,5.78,1.0,12.0,9.0,63.0,7.0,0.0,1.0,0.0,1,0.0,0.0,55.4,MitcKe01
Dontayvion Wicks,GNB,WR,24,14,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,46.0,30.0,332.0,11.07,2.0,0.0,0.0,2,0.0,0.0,75.8,WickDo00
Olamide Zaccheaus,CHI,WR,28,16,0.0,0.0,0.0,0.0,0.0,4.0,25.0,6.25,0.0,65.0,39.0,313.0,8.03,2.0,0.0,0.0,2,0.0,0.0,84.8,ZaccOl01
Emari Demercado,ARI,RB,26,13,0.0,0.0,0.0,0.0,0.0,44.0,312.0,7.09,0.0,20.0,13.0,101.0,7.77,1.0,1.0,1.0,1,0.0,0.0,58.3,DemeEm00
DeAndre Hopkins,BAL,WR,33,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,330.0,15.0,2.0,0.0,0.0,2,0.0,0.0,67.0,HopkDe00
Mason Taylor,NYJ,TE,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,44.0,369.0,8.39,1.0,0.0,0.0,1,1.0,0.0,88.9,TaylMa02
Pat Bryant,DEN,WR,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,31.0,378.0,12.19,1.0,0.0,0.0,1,0.0,0.0,74.8,BryaPa00
Justice Hill,BAL,RB,28,10,0.0,0.0,0.0,0.0,0.0,18.0,93.0,5.17,2.0,27.0,21.0,169.0,8.05,1.0,1.0,0.0,3,0.0,0.0,65.2,HillJu00
Mike Gesicki,CIN,TE,30,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0,307.0,10.96,2.0,0.0,0.0,2,0.0,0.0,70.7,GesiMi00
Devin Neal,NOR,RB,22,10,0.0,0.0,0.0,0.0,0.0,57.0,206.0,3.61,2.0,19.0,17.0,104.0,6.12,0.0,0.0,0.0,2,0.0,0.0,60.0,NealDe00
Kalif Raymond,DET,WR,31,15,0.0,0.0,0.0,0.0,0.0,2.0,19.0,9.5,0.0,30.0,24.0,289.0,12.04,1.0,0.0,0.0,2,0.0,0.0,66.8,RaymKa00
Sterling Shepard,TAM,WR,32,13,0.0,0.0,0.0,0.0,0.0,4.0,19.0,4.75,0.0,53.0,39.0,371.0,9.51,1.0,1.0,1.0,1,0.0,0.0,82.0,ShepSt00
Jaylen Wright,MIA,RB,22,10,0.0,0.0,0.0,0.0,0.0,70.0,288.0,4.11,2.0,9.0,5.0,44.0,8.8,0.0,2.0,1.0,2,0.0,0.0,48.2,WrigJa04
Jaylin Noel,HOU,WR,23,17,0.0,0.0,0.0,0.0,0.0,6.0,12.0,2.0,0.0,35.0,26.0,292.0,11.23,2.0,0.0,0.0,2,0.0,0.0,68.4,NoelJa00
Darnell Washington,PIT,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,364.0,11.74,1.0,2.0,1.0,1,1.0,0.0,73.4,WashDa03
Jameis Winston,NYG,QB,31,3,37.0,66.0,567.0,2.0,2.0,7.0,23.0,3.29,1.0,1.0,1.0,33.0,33.0,1.0,1.0,1.0,2,0.0,0.0,43.3,WinsJa00
Daniel Bellinger,NYG,TE,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,286.0,15.05,2.0,0.0,0.0,2,0.0,0.0,59.6,BellDa00
Noah Fant,CIN,TE,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0,288.0,8.47,3.0,3.0,3.0,3,0.0,0.0,74.8,FantNo00
Terrance Ferguson,LAR,TE,22,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,11.0,231.0,21.0,3.0,0.0,0.0,3,0.0,0.0,52.1,FergTe00
Matthew Golden,GNB,WR,22,14,0.0,0.0,0.0,0.0,0.0,10.0,49.0,4.9,0.0,44.0,29.0,361.0,12.45,0.0,0.0,0.0,0,0.0,0.0,70.0,GoldMa02
Van Jefferson,TEN,WR,29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,29.0,350.0,12.07,1.0,0.0,0.0,1,0.0,0.0,70.0,JeffVa00
Tyler Lockett,2TM,WR,33,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.0,291.0,9.09,1.0,0.0,0.0,2,0.0,0.0,73.1,LockTy00
JuJu Smith-Schuster,KAN,WR,29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,33.0,345.0,10.45,1.0,0.0,0.0,1,0.0,0.0,73.5,SmitJu00
Devaughn Vele,NOR,WR,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,293.0,11.72,2.0,0.0,0.0,2,0.0,0.0,66.3,VeleDe00
Tyler Huntley,BAL,QB,27,5,52.0,67.0,426.0,2.0,0.0,24.0,151.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.1,HuntTy01
Luke McCaffrey,WAS,WR,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,203.0,18.45,3.0,0.0,0.0,3,1.0,0.0,51.3,McCaLu00
Josh Oliver,MIN,TE,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,160.0,10.67,4.0,0.0,0.0,4,0.0,0.0,55.0,OlivJo00
