Fmb,FL,player_id
2.0,1.0,TaylJo02
2.0,0.0,McCaCh01
4.0,3.0,RobiBi01
2.0,1.0,GibbJa01
1.0,1.0,NacuPu00
3.0,1.0,SmitJa06
6.0,3.0,CookJa01
4.0,3.0,HenrDe00
1.0,0.0,AchaDe00
7.0,3.0,AlleJo02
1.0,0.0,StxxAm00
4.0,0.0,PickGe00
8.0,3.0,MayeDr00
7.0,3.0,StafMa00
2.0,2.0,WillKy02
1.0,1.0,ChasJa00
1.0,0.0,EtieTr00
5.0,3.0,LawrTr00
2.0,0.0,BrowCh10
2.0,2.0,WillJa10
3.0,2.0,JacoJo01
2.0,2.0,SwifDA00
1.0,1.0,BarkSa00
9.0,1.0,WillCa03
6.0,2.0,PresDa01
2.0,1.0,JeanAs00
3.0,3.0,FlowZa00
1.0,1.0,CollNi00
4.0,2.0,NixxBo00
2.0,1.0,DowdRi01
1.0,0.0,WarrJa01
8.0,4.0,HurtJa00
6.0,5.0,GoffJa00
2.0,2.0,HallBr03
1.0,1.0,HendTr02
1.0,1.0,McMiTe00
1.0,1.0,LondDr00
7.0,2.0,HerbJu00
1.0,0.0,KelcTr00
3.0,0.0,MahoPa00
1.0,0.0,WalkKe00
1.0,0.0,WaddJa00
1.0,1.0,HarvRJ00
1.0,1.0,FannHa00
2.0,0.0,WashPa01
1.0,0.0,WarrTy00
1.0,0.0,RobiWa01
4.0,3.0,PollTo00
1.0,1.0,JohnQu02
1.0,1.0,MoorD.00
3.0,2.0,FergJa00
1.0,1.0,JennJa00
11.0,3.0,MayfBa00
5.0,2.0,DartJa00
7.0,2.0,LoveJo03
11.0,6.0,DarnSa00
5.0,4.0,BrisJa00
9.0,3.0,JoneDa05
4.0,1.0,RodgAa00
7.0,4.0,YounBr01
7.0,3.0,JackLa00
2.0,0.0,StroCJ00
11.0,7.0,WardCa00
3.0,2.0,PurdBr00
4.0,1.0,SmitGe00
8.0,1.0,TagoTu00
3.0,2.0,ShouTy00
2.0,1.0,GainKe00
3.0,3.0,FlacJo00
3.0,3.0,StevRh00
4.0,3.0,FielJu00
2.0,1.0,MontDa01
4.0,2.0,CrosJa00
4.0,2.0,JoneMa05
2.0,1.0,HuntKa00
1.0,0.0,MarkWo00
6.0,3.0,MariMa01
6.0,2.0,McCaJJ00
1.0,1.0,TracTy00
4.0,2.0,PeniMi00
3.0,0.0,SamuDe00
3.0,1.0,MasoJo00
3.0,2.0,DaniJa02
1.0,1.0,FranTr00
1.0,0.0,DoubRo00
1.0,1.0,IrviBu00
3.0,1.0,CousKi00
1.0,0.0,HampOm00
1.0,1.0,SkatCa00
2.0,2.0,JohnJu02
2.0,0.0,AlleKe00
1.0,0.0,VidaKi00
1.0,1.0,MeyeJa01
4.0,2.0,RattSp00
2.0,1.0,ShahRa00
2.0,0.0,RiceRa01
1.0,0.0,SchuDa00
2.0,0.0,BarnAJ00
1.0,1.0,HubbCh01
1.0,1.0,ShakKh00
2.0,1.0,JoneAa00
1.0,0.0,BrowMa04
1.0,0.0,KincDa00
1.0,1.0,ParkCo02
2.0,1.0,SandSh00
1.0,0.0,AndrMa00
2.0,0.0,TuckSe00
1.0,1.0,GadsOr01
1.0,0.0,WilsEm00
2.0,1.0,TuteBh00
2.0,1.0,DikeCh00
1.0,1.0,DownJo00
1.0,1.0,MurrKy00
1.0,0.0,ErtzZa00
1.0,0.0,JohnTy02
1.0,1.0,JeudJe00
1.0,1.0,KnigZo00
1.0,1.0,WashMa00
3.0,0.0,WentCa00
1.0,1.0,KuppCo00
1.0,0.0,MillDa02
2.0,2.0,KamaAl00
1.0,0.0,HollMa00
1.0,1.0,ColeKe02
1.0,0.0,WilsGa00
