"games","player","position","team","points","pts_per_target","targets","receptions","catch_percentage","rec_yd_pts","rec_td_pts","rush_ypa","rush_yd_pts","rush_td_pts","fumbles"
17,"Tre Tucker","WR","LVR","161.70","1.76","92.00","57.00",62,"69.60","30.00","4.64","5.10","0.00","0.00"
11,"George Kittle","TE","SFO","161.50","2.34","69.00","57.00",83,"62.80","42.00","-3.00","-0.30","0.00","0.00"
18,"Rashid Shaheed","WR","2TM","156.60","1.70","92.00","59.00",64,"68.70","12.00","7.67","6.90","0.00","2.00"
8,"Rashee Rice","WR","KAN","150.10","1.92","78.00","53.00",68,"57.10","30.00","4.00","2.00","6.00","2.00"
17,"AJ Barner","TE","SEA","147.30","2.17","68.00","52.00",76,"51.90","36.00","1.40","1.40","6.00","2.00"
12,"Rome Odunze","WR","CHI","146.10","1.62","90.00","44.00",49,"66.10","36.00","0.00","0.00","0.00","0.00"
14,"Brian Thomas","WR","JAX","138.80","1.53","91.00","48.00",53,"70.70","12.00","7.00","2.10","6.00","0.00"
16,"Marquise Brown","WR","KAN","137.70","1.86","74.00","49.00",66,"58.70","30.00","0.00","0.00","0.00","1.00"
14,"Jordan Addison","WR","MIN","135.10","1.71","79.00","42.00",53,"61.00","18.00","40.50","8.10","6.00","0.00"
10,"Christian Watson","WR","GNB","132.40","2.41","55.00","35.00",64,"61.10","36.00","3.00","0.30","0.00","0.00"
17,"Mark Andrews","TE","BAL","131.00","1.87","70.00","48.00",69,"42.20","30.00","4.80","4.80","6.00","1.00"
15,"Colby Parkinson","TE","LAR","129.80","2.32","56.00","43.00",77,"40.80","48.00","0.00","0.00","0.00","1.00"
17,"Jayden Higgins","WR","HOU","129.50","1.90","68.00","41.00",60,"52.50","36.00","0.00","0.00","0.00","0.00"
12,"Marvin Harrison Jr.","WR","ARI","127.80","1.75","73.00","41.00",56,"60.80","24.00","0.00","0.00","0.00","0.00"
15,"Theo Johnson","TE","NYG","127.80","1.73","74.00","45.00",61,"52.80","30.00","0.00","0.00","0.00","0.00"
13,"Zach Ertz","TE","WAS","126.40","1.76","72.00","50.00",69,"50.40","24.00","0.00","0.00","0.00","1.00"
17,"Chimere Dike","WR","TEN","126.10","1.70","74.00","48.00",65,"42.30","24.00","1.64","1.80","0.00","2.00"
12,"Dalton Kincaid","TE","BUF","126.10","2.57","49.00","39.00",80,"57.10","30.00","0.00","0.00","0.00","1.00"
14,"Kayshon Boutte","WR","NWE","124.10","2.70","46.00","33.00",72,"55.10","36.00","0.00","0.00","0.00","0.00"
17,"Chig Okonkwo","TE","TEN","124.00","1.57","79.00","56.00",71,"56.00","12.00","0.00","0.00","0.00","0.00"
16,"Cade Otton","TE","TAM","122.20","1.51","81.00","59.00",73,"57.20","6.00","0.00","0.00","0.00","0.00"
17,"Jerry Jeudy","WR","CLE","120.70","1.14","106.00","50.00",47,"60.20","12.00","5.00","0.50","0.00","1.00"
12,"Brenton Strange","TE","JAX","118.00","1.97","60.00","46.00",77,"54.00","18.00","0.00","0.00","0.00","0.00"
17,"Malik Washington","WR","MIA","116.70","1.80","65.00","46.00",71,"31.70","18.00","6.47","11.00","6.00","1.00"
16,"Elic Ayomanor","WR","TEN","116.50","1.31","89.00","41.00",46,"51.50","24.00","0.00","0.00","0.00","0.00"
16,"Cooper Kupp","WR","SEA","116.30","1.66","70.00","47.00",67,"59.30","12.00","0.00","0.00","0.00","1.00"
10,"Terry McLaurin","WR","WAS","114.20","1.90","60.00","38.00",63,"58.20","18.00","0.00","0.00","0.00","0.00"
17,"Pat Freiermuth","TE","PIT","113.60","2.10","54.00","41.00",76,"48.60","24.00","0.00","0.00","0.00","0.00"
15,"T.J. Hockenson","TE","MIN","112.80","1.71","66.00","51.00",77,"43.80","18.00","0.00","0.00","0.00","0.00"
9,"Sam LaPorta","TE","DET","106.90","2.18","49.00","40.00",82,"48.90","18.00","0.00","0.00","0.00","0.00"
17,"Dawson Knox","TE","BUF","103.70","2.12","49.00","36.00",73,"41.70","24.00","0.00","0.00","0.00","0.00"
16,"Evan Engram","TE","DEN","102.80","1.35","76.00","50.00",66,"46.10","6.00","7.00","0.70","0.00","0.00"
7,"Garrett Wilson","WR","NYJ","99.50","1.69","59.00","36.00",61,"39.50","24.00","0.00","0.00","0.00","1.00"
14,"Darius Slayton","WR","NYG","98.80","1.57","63.00","37.00",59,"53.80","6.00","0.00","0.00","0.00","1.00"
17,"Jake Tonges","TE","SFO","93.30","2.03","46.00","34.00",74,"29.30","30.00","0.00","0.00","0.00","0.00"
16,"Tez Johnson","WR","TAM","92.40","2.10","44.00","28.00",64,"32.20","30.00","3.14","2.20","0.00","0.00"
