"games","player","position","team","points","rush_attempts","rush_ypa","rush_yds","rush_tds","rush_yd_pts","rush_td_pts","receptions","targets","rec_yds","rec_tds","rec_yd_pts","rec_td_pts","fumbles"
17,"Michael Pittman Jr.","WR","IND","202.40","0.00","0.00","0.00","0.00","0.00","0.00","80.00","111.00","784.00","7.00","78.40","42.00","0.00"
12,"Drake London","WR","ATL","201.90","0.00","0.00","0.00","0.00","0.00","0.00","68.00","112.00","919.00","7.00","91.90","42.00","1.00"
17,"DeVonta Smith","WR","PHI","201.80","0.00","0.00","0.00","0.00","0.00","0.00","77.00","113.00","1008.00","4.00","100.80","24.00","0.00"
17,"Justin Jefferson","WR","MIN","201.50","2.00","3.50","7.00","0.00","0.70","0.00","84.00","141.00","1048.00","2.00","104.80","12.00","0.00"
14,"CeeDee Lamb","WR","DAL","200.90","1.00","2.00","2.00","0.00","0.20","0.00","75.00","117.00","1077.00","3.00","107.70","18.00","0.00"
17,"Emeka Egbuka","WR","TAM","195.70","2.00","4.50","9.00","0.00","0.90","0.00","63.00","127.00","938.00","6.00","93.80","36.00","0.00"
16,"Jaylen Waddle","WR","MIA","194.10","2.00","14.00","28.00","0.00","2.80","0.00","64.00","100.00","910.00","6.00","91.00","36.00","1.00"
17,"Travis Kelce","TE","KAN","193.20","1.00","1.00","1.00","0.00","0.10","0.00","76.00","108.00","851.00","5.00","85.10","30.00","1.00"
17,"Kenneth Walker III","RB","SEA","191.90","221.00","4.65","1027.00","5.00","102.70","30.00","31.00","36.00","282.00","0.00","28.20","0.00","1.00"
17,"Tyler Warren","TE","IND","188.50","6.00","1.33","8.00","1.00","0.80","6.00","76.00","112.00","817.00","4.00","81.70","24.00","1.00"
16,"Deebo Samuel","WR","WAS","188.20","17.00","4.41","75.00","1.00","7.50","6.00","72.00","99.00","727.00","5.00","72.70","30.00","3.00"
15,"D.K. Metcalf","WR","PIT","187.20","2.00","6.00","12.00","1.00","1.20","6.00","59.00","99.00","850.00","6.00","85.00","36.00","0.00"
16,"Harold Fannin","TE","CLE","186.40","7.00","1.86","13.00","1.00","1.30","6.00","72.00","107.00","731.00","6.00","73.10","36.00","1.00"
17,"Tony Pollard","RB","TEN","185.80","242.00","4.47","1082.00","5.00","108.20","30.00","33.00","41.00","206.00","0.00","20.60","0.00","4.00"
16,"Parker Washington","WR","JAX","184.70","7.00","0.00","0.00","0.00","0.00","0.00","58.00","95.00","847.00","5.00","84.70","30.00","2.00"
17,"Keenan Allen","WR","LAC","182.70","0.00","0.00","0.00","0.00","0.00","0.00","81.00","122.00","777.00","4.00","77.70","24.00","2.00"
16,"Zach Charbonnet","RB","SEA","181.40","184.00","3.97","730.00","12.00","73.00","72.00","20.00","24.00","144.00","0.00","14.40","0.00","0.00"
16,"Ladd McConkey","WR","LAC","180.90","0.00","0.00","0.00","0.00","0.00","0.00","66.00","106.00","789.00","6.00","78.90","36.00","0.00"
17,"Juwan Johnson","TE","NOR","179.90","0.00","0.00","0.00","0.00","0.00","0.00","77.00","102.00","889.00","3.00","88.90","18.00","2.00"
17,"Hunter Henry","TE","NWE","178.80","0.00","0.00","0.00","0.00","0.00","0.00","60.00","87.00","768.00","7.00","76.80","42.00","0.00"
17,"Dalton Schultz","TE","HOU","177.70","0.00","0.00","0.00","0.00","0.00","0.00","82.00","106.00","777.00","3.00","77.70","18.00","1.00"
17,"Troy Franklin","WR","DEN","177.10","5.00","2.40","12.00","0.00","1.20","0.00","65.00","104.00","709.00","6.00","70.90","36.00","1.00"
12,"Brock Bowers","TE","LVR","176.20","2.00","1.00","2.00","0.00","0.20","0.00","64.00","86.00","680.00","7.00","68.00","42.00","0.00"
16,"Jakobi Meyers","WR","2TM","175.80","5.00","2.60","13.00","0.00","1.30","0.00","75.00","110.00","835.00","3.00","83.50","18.00","1.00"
15,"Jauan Jennings","WR","SFO","173.30","0.00","0.00","0.00","0.00","0.00","0.00","55.00","90.00","643.00","9.00","64.30","54.00","1.00"
14,"Quentin Johnston","WR","LAC","171.20","2.00","3.50","7.00","0.00","0.70","0.00","51.00","84.00","735.00","8.00","73.50","48.00","1.00"
17,"D.J. Moore","WR","CHI","170.20","15.00","5.27","79.00","1.00","7.90","6.00","50.00","85.00","682.00","6.00","68.20","36.00","1.00"
14,"Quinshon Judkins","RB","CLE","169.80","230.00","3.60","827.00","7.00","82.70","42.00","26.00","36.00","171.00","0.00","17.10","0.00","0.00"
