Player,Tm,FantPos,Age,G,player_id
Raheim Sanders,CLE,RB,23,4,SandRa00
Ben Sinnott,WAS,TE,23,16,SinnBe00
Tyler Badie,DEN,RB,25,16,BadiTy00
John Bates,WAS,TE,28,15,BateJo00
Julian Hill,MIA,TE,25,14,HillJu02
Brycen Tremayne,CAR,WR,26,16,TremBr00
Savion Williams,GNB,WR,24,12,WillSa01
Rasheen Ali,BAL,RB,24,15,AlixRa00
LeQuint Allen,JAX,RB,21,17,AlleLe01
Ashton Dulin,IND,WR,28,12,DuliAs00
Konata Mumpfield,LAR,WR,23,17,MumpKo00
Mason Rudolph,PIT,QB,30,5,RudoMa00
Brevyn Spann-Ford,DAL,TE,26,17,SpanBr00
Cody White,SEA,WR,27,10,WhitCo05
Grant Calcaterra,PHI,TE,27,15,CalcGr00
Efton Chism,NWE,WR,24,8,ChisEf00
C.J. Ham,MIN,FB,32,11,HamxC.00
Terrell Jennings,NWE,RB,24,7,JennTe00
Kameron Johnson,TAM,WR,23,17,JohnKa01
Trey Lance,LAC,QB,25,4,LancTr00
Tanner McKee,PHI,QB,25,4,McKeTa01
Dare Ogunbowale,HOU,RB,31,17,OgunDa00
Curtis Samuel,BUF,WR,29,6,SamuCu00
Dont'e Thornton,LVR,WR,23,15,ThorDo00
Braelon Allen,NYJ,RB,21,4,AlleBr05
John FitzPatrick,GNB,TE,25,15,FitzJo00
George Holani,SEA,RB,26,11,HolaGe00
Allen Lazard,NYJ,WR,30,10,LazaAl00
Luke Schoonmaker,DAL,TE,27,17,SchoLu00
Ben Skowronek,PIT,WR,28,17,SkowBe00
Shedrick Jackson,LVR,WR,26,5,JackSh01
Quintin Morris,JAX,TE,26,14,MorrQu00
Josh Reynolds,NYJ,WR,30,5,ReynJo00
Nate Adkins,DEN,TE,26,9,AdkiNa00
KeAndre Lambert-Smith,LAC,WR,24,10,LambKe01
Johnny Mundt,JAX,TE,31,16,MundJo00
Kene Nwangwu,NYJ,RB,27,12,NwanKe00
